aid,year,gpa,pvt,grad,fam_mig,fam_inc,fam_edu
90574307,1992,2.929,111,1,0.604,0.923,0.838
90574335,1993,3,111,1,0.845,0.951,0.867
90574392,1994,3.583,87,1,0.802,0.935,0.842
90574415,1993,0.857,103,1,0.933,0.94,0.862
90574489,1994,3.231,104,1,0.786,0.914,0.646
90574503,1993,3.083,112,1,0.906,0.959,0.976
90574890,1992,2.286,110,1,0.846,0.914,0.824
90574918,1994,1.625,103,1,0.646,0.971,0.962
90574992,1994,3,104,0,0.852,0.873,0.685
90575009,1994,2.375,104,1,0.863,0.949,0.944
90575039,1992,1.7,104,1,0.84,0.908,0.776
90575111,1994,3,122,1,0.905,0.913,0.921
90575118,1991,2.143,118,1,0.645,0.873,0.856
90575167,1996,2.857,85,1,0.588,0.934,0.975
90575207,1996,2.125,110,1,0.721,0.912,0.952
90575216,1993,3.375,90,1,0.634,0.908,0.853
90575229,1995,1.214,93,1,0.563,0.921,0.895
90575263,1992,2.375,94,1,0.678,0.944,0.888
90575288,1991,2.833,108,1,0.641,0.917,0.958
90575333,1994,2.9,107,1,0.942,0.963,0.889
90575354,1994,3.429,102,1,0.765,0.883,0.885
90575378,1994,3.5,119,1,0.564,0.931,0.991
90575623,1991,2.25,116,1,0.691,0.941,0.863
90575834,1994,3.7,104,0,0.824,0.97,0.979
90575871,1992,2.867,119,1,0.564,0.931,0.991
90575873,1992,3.133,120,1,0.564,0.931,0.991
90575919,1993,1.824,115,1,0.645,0.873,0.856
90575931,1992,3.111,85,1,0.9,0.914,0.941
90575940,1993,2.714,111,1,0.974,0.98,0.968
90575946,1994,3.714,110,1,0.894,0.936,0.722
90575948,1992,3.125,91,1,0.9,0.816,0.643
90575950,1994,4,107,1,0.753,0.96,0.905
90575966,1991,3.143,116,1,0.588,0.934,0.975
90575975,1993,3,107,1,0.564,0.931,0.991
90575978,1993,3.667,122,1,0.564,0.931,0.991
90575982,1994,1.143,79,1,0.834,0.918,0.89
90575991,1993,0,89,1,0.951,0.97,0.864
90576026,1994,4,95,1,0.943,0.927,0.86
90576057,1994,3.563,116,1,0.978,0.938,0.731
90576117,1992,2.643,102,1,0.711,0.94,0.792
90576119,1993,3.875,111,1,0.964,0.942,0.769
90576142,1992,3.833,104,1,0.589,0.867,0.898
90576148,1996,3.643,112,1,0.935,0.961,0.932
90576245,1992,3.071,114,1,0.792,0.915,0.97
90576248,1994,3,120,1,0.955,0.906,0.974
90576285,1993,3.833,122,1,0.857,0.932,0.902
90576320,1992,0.833,100,1,0.993,0.914,0.869
90576336,1994,1.813,95,1,0.98,0.93,0.9
90576412,1994,3.214,115,1,0.964,0.942,0.769
90576445,1994,3,116,1,0.75,0.916,0.988
90576481,1992,1.917,122,0,0.887,0.884,0.815
90576485,1991,2.917,115,1,0.867,0.926,0.811
90576522,1991,2.692,104,1,0.986,0.935,0.875
90576561,1994,1.929,95,1,0.781,0.859,0.804
