aid,year,gpa,pvt,grad,fam_mig,fam_inc,fam_edu,avg_peer_gpa
92578615,1992,1.714,104,1,0.545,0.929,0.776,2.5941001540832
92578935,1992,2.417,107,1,0.908,0.901,0.862,2.59301694915254
92579297,1992,2.071,98,1,0.785,0.958,0.822,2.5935500770416
92579376,1992,1.5,114,1,0.76,0.895,0.808,2.59442989214176
92579998,1992,4,107,1,0.795,0.938,0.838,2.59057781201849
92606325,1992,1.143,89,1,0.85,0.949,0.919,2.59497996918336
92608972,1992,3.583,91,1,0.926,0.935,0.871,2.59122033898305
92676153,1992,2,91,1,0.98,0.84,0.925,2.5936594761171
92676351,1992,1.929,104,1,0.99,0.911,0.879,2.5937688751926
92676356,1992,2.643,119,1,0.994,0.916,0.947,2.5926687211094
92676556,1992,2.889,91,1,0.767,0.827,0.73,2.59228967642527
93500514,1992,3.333,108,0,0.87,0.937,0.993,2.59160554699538
93503030,1992,2.077,103,1,0.914,0.933,0.864,2.59354083204931
93504001,1992,2.583,98,1,0.721,0.89,0.962,2.59276117103236
93504404,1992,3,118,1,0.646,0.914,0.879,2.5921186440678
93504600,1992,3.2,115,1,0.43,0.95,0.898,2.59181047765793
93506129,1992,2.133,102,1,0.739,0.959,0.92,2.59345454545455
93506242,1992,3.083,83,1,0.955,0.906,0.974,2.5919907550077
93506265,1992,3.833,104,1,0.611,0.839,0.672,2.59083513097072
93544901,1992,3.333,116,1,0.656,0.886,0.824,2.59160554699538
93570223,1992,2.5,102,1,0.957,0.811,0.88,2.59288906009245
93570432,1992,3.857,119,1,0.86,0.905,0.906,2.59079815100154
93570581,1992,1.571,104,1,0.944,0.876,0.81,2.59432049306626
93570696,1992,3.417,100,1,0.924,0.913,0.782,2.59147611710324
93570787,1992,3.571,108,1,0.991,0.907,0.857,2.59123882896764
93570929,1992,3.444,102,1,0.694,0.961,0.796,2.5914345146379
93571452,1992,4,115,1,0.697,0.909,0.866,2.59057781201849
93572076,1992,2.538,93,1,0.702,0.949,0.816,2.59283050847458
93572102,1992,2.333,104,1,0.638,0.924,0.906,2.59314637904468
93572140,1992,3.667,104,1,0.888,0.876,0.851,2.59109090909091
93572365,1992,2.643,106,1,0.797,0.943,0.986,2.5926687211094
93572376,1992,2.556,118,1,0.786,0.945,0.864,2.59280277349769
93572389,1992,3.313,83,1,0.919,0.952,0.919,2.59163636363636
93572391,1992,3.286,118,1,0.852,0.937,0.836,2.59167796610169
93572802,1992,4,114,1,0.638,0.924,0.906,2.59057781201849
93572977,1992,2.636,89,1,0.82,0.858,0.772,2.59267950693374
93573115,1992,2,100,0,0.935,0.931,0.856,2.5936594761171
93573639,1992,4,120,1,0.638,0.934,0.402,2.59057781201849
93573694,1992,3.5,90,1,0.823,0.934,0.805,2.59134822804314
93573959,1992,2.917,108,1,0.987,0.934,0.834,2.59224653312789
93574426,1992,2.429,100,1,0.678,0.839,0.753,2.59299845916795
93574688,1992,2,87,1,0.812,0.896,0.742,2.5936594761171
93575233,1992,2.875,115,1,0.834,0.892,0.731,2.59231124807396
93575248,1992,3.938,116,1,0.599,0.931,0.871,2.59067334360555
93575354,1992,0.1,89,0,0.766,0.955,0.935,2.59658705701079
93575389,1992,2.167,112,1,0.781,0.934,0.823,2.59340215716487
93575983,1992,2.462,111,1,0.781,0.934,0.823,2.59294761171032
93576458,1992,3,103,1,0.583,0.927,0.867,2.5921186440678
